Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,33.82,33.96,33.82,33.96,10200,33.96
2014-02-21,33.69,33.84,33.58,33.68,7500,33.68
2014-02-20,36.24,36.24,33.12,33.67,17800,33.67
2014-02-19,33.45,33.74,33.40,33.57,30200,33.57
2014-02-18,33.02,33.42,33.02,33.42,9900,33.42
2014-02-14,32.63,32.81,32.52,32.71,13600,32.71
2014-02-13,32.20,32.42,32.20,32.41,17600,32.41
2014-02-12,32.32,32.39,32.19,32.30,11100,32.30
2014-02-11,31.96,32.19,31.96,32.11,13100,32.11
2014-02-10,32.15,32.29,31.84,31.90,36400,31.90
2014-02-07,31.96,32.13,31.89,32.04,1998700,32.04
2014-02-06,32.03,32.03,31.71,31.75,3900,31.75
2014-02-05,31.66,31.85,31.66,31.85,2000,31.85
2014-02-04,31.50,31.66,31.45,31.64,9200,31.64
2014-02-03,31.43,31.44,31.43,31.44,7700,31.44
2014-01-31,31.01,31.06,30.92,30.99,17500,30.99
2014-01-30,31.14,31.14,31.14,31.14,400,31.14
2014-01-29,30.82,30.85,30.82,30.85,1000,30.85
2014-01-28,30.63,30.68,30.58,30.68,1200,30.68
2014-01-27,30.69,30.69,30.42,30.42,5000,30.42
2014-01-24,30.70,30.70,30.70,30.70,700,30.70
2014-01-23,30.35,30.35,30.34,30.34,800,30.34
2014-01-22,30.08,30.14,30.08,30.14,1300,30.14
2014-01-21,30.06,30.06,29.74,29.83,55700,29.83
2014-01-17,29.93,29.99,29.90,29.93,5800,29.93
2014-01-16,30.25,30.25,30.11,30.12,1300,30.12
2014-01-15,30.02,30.02,30.02,30.02,100,30.02
2014-01-14,29.91,29.96,29.91,29.95,5600,29.95
2014-01-13,29.64,29.84,29.64,29.80,12300,29.80
2014-01-10,29.81,29.81,29.55,29.55,43600,29.55
2014-01-09,29.52,29.52,29.36,29.36,1000,29.36
2014-01-08,29.76,29.76,29.76,29.76,000,29.76
2014-01-07,29.90,29.90,29.76,29.76,3800,29.76
2014-01-06,29.90,29.91,29.90,29.91,1800,29.91
2014-01-03,29.67,29.78,29.53,29.78,52300,29.78
2014-01-02,29.80,29.80,29.65,29.65,5100,29.65
2013-12-31,30.05,30.05,30.05,30.05,1000,30.05
2013-12-30,30.35,30.36,30.31,30.31,900,30.31
2013-12-27,30.40,30.40,30.40,30.40,100,30.40
2013-12-26,30.59,30.59,30.59,30.59,000,30.59
2013-12-24,30.52,30.59,30.52,30.59,200,30.59
2013-12-23,30.59,30.59,30.35,30.40,2200,30.40
2013-12-20,30.13,30.13,30.13,30.13,000,30.13
2013-12-19,30.19,30.19,30.13,30.13,15000,30.13
2013-12-18,30.25,30.25,30.19,30.19,3800,30.19
2013-12-17,30.13,30.13,30.13,30.13,900,30.13
2013-12-16,29.98,29.98,29.98,29.98,000,29.98
2013-12-13,29.98,29.98,29.98,29.98,000,29.98
2013-12-12,29.98,29.98,29.98,29.98,600,29.98
2013-12-11,30.00,30.00,29.92,30.00,2300,30.00
2013-12-10,29.75,29.75,29.75,29.75,000,29.75
2013-12-09,29.68,29.75,29.68,29.75,1100,29.75
2013-12-06,29.56,29.56,29.55,29.55,200,29.55
2013-12-05,29.40,29.47,29.37,29.47,2200,29.47
2013-12-04,29.39,29.58,29.39,29.52,500,29.52
2013-12-03,29.33,29.33,29.33,29.33,100,29.33
2013-12-02,29.51,29.51,29.51,29.51,300,29.51
2013-11-29,29.38,29.46,29.38,29.46,2500,29.46
2013-11-27,29.26,29.30,29.26,29.30,2800,29.30
2013-11-26,29.37,29.38,29.37,29.38,2400,29.38
2013-11-25,29.24,29.33,29.24,29.33,4200,29.33
2013-11-22,29.28,29.28,29.28,29.28,700,29.28
2013-11-21,29.14,29.14,29.14,29.14,200,29.14
2013-11-20,29.14,29.14,29.14,29.14,000,29.14
2013-11-19,29.14,29.14,29.14,29.14,000,29.14
2013-11-18,29.14,29.14,29.14,29.14,200,29.14
2013-11-15,29.10,29.10,29.04,29.04,800,29.04
2013-11-14,28.88,29.01,28.85,29.01,700,29.01
2013-11-13,29.06,29.06,29.06,29.06,1100,29.06
2013-11-12,29.12,29.12,29.12,29.12,000,29.12
2013-11-11,29.09,29.12,29.09,29.12,700,29.12
2013-11-08,28.96,28.96,28.96,28.96,000,28.96
2013-11-07,29.04,29.04,28.96,28.96,1600,28.96
2013-11-06,29.04,29.04,29.00,29.00,3600,29.00
2013-11-05,28.89,28.94,28.89,28.94,1200,28.94
2013-11-04,28.93,28.94,28.90,28.90,15400,28.90
2013-11-01,29.13,29.13,29.07,29.08,700,29.08
2013-10-31,29.61,29.61,29.61,29.61,000,29.61
2013-10-30,29.73,29.73,29.61,29.61,4900,29.61
2013-10-29,29.68,29.68,29.66,29.66,700,29.66
2013-10-28,29.76,29.76,29.73,29.73,300,29.73
2013-10-25,29.87,29.94,29.87,29.92,5200,29.92
2013-10-24,29.72,29.77,29.72,29.77,1800,29.77
2013-10-23,29.91,29.91,29.89,29.89,600,29.89
