Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,58.53,59.81,54.16,58.01,165500,58.01
2014-02-21,51.86,62.48,49.62,59.10,227500,59.10
2014-02-20,43.64,51.87,43.64,51.35,182000,51.35
2014-02-19,43.71,44.89,41.43,43.85,104200,43.85
2014-02-18,44.00,44.99,42.77,43.57,45000,43.57
2014-02-14,45.11,45.18,42.66,44.00,37900,44.00
2014-02-13,44.27,44.95,40.51,43.96,169900,43.96
2014-02-12,40.05,46.00,40.05,44.78,291600,44.78
2014-02-11,39.83,40.59,38.52,40.13,83500,40.13
2014-02-10,37.60,39.92,37.60,38.45,90200,38.45
2014-02-07,36.46,38.29,36.46,37.65,62500,37.65
2014-02-06,36.84,38.68,35.81,37.24,188500,37.24
2014-02-05,38.00,38.00,35.00,36.00,296500,36.00
2014-02-04,38.00,40.00,36.00,36.00,352300,36.00
2014-02-03,43.95,43.95,38.52,39.00,498200,39.00
2014-01-31,45.80,47.99,41.85,42.25,4392500,42.25
