Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,6.91,7.29,6.91,7.05,17000,7.05
2014-02-21,7.27,7.48,7.05,7.10,21200,7.10
2014-02-20,7.45,7.45,7.05,7.05,10400,7.05
2014-02-19,7.50,7.50,7.30,7.30,20800,7.30
2014-02-18,7.76,8.00,7.50,7.55,15500,7.55
2014-02-14,7.66,7.79,7.51,7.74,9700,7.74
2014-02-13,7.66,7.66,7.49,7.50,9300,7.50
2014-02-12,7.80,7.80,7.60,7.80,11300,7.80
2014-02-11,7.50,8.05,7.40,7.81,8600,7.81
2014-02-10,8.30,8.30,7.27,7.88,49200,7.88
2014-02-07,7.95,9.00,7.75,7.86,32500,7.86
2014-02-06,7.25,7.98,6.80,7.28,42500,7.28
2014-02-05,7.00,7.00,7.00,7.00,14900,7.00
2014-02-04,8.00,8.00,7.00,7.00,28100,7.00
2014-02-03,8.85,9.00,7.70,8.15,51600,8.15
2014-01-31,6.66,9.20,6.06,8.90,132800,8.90
2014-01-30,10.49,10.49,10.00,10.20,4700,10.20
2014-01-29,10.50,10.50,10.50,10.50,600,10.50
2014-01-28,10.50,10.50,10.50,10.50,600,10.50
2014-01-27,10.70,10.70,10.50,10.50,6500,10.50
2014-01-24,10.55,10.96,10.50,10.50,9300,10.50
2014-01-23,10.55,10.55,10.55,10.55,600,10.55
2014-01-22,11.00,11.00,11.00,11.00,1400,11.00
2014-01-21,11.00,11.00,11.00,11.00,000,11.00
2014-01-17,11.00,11.00,11.00,11.00,1000,11.00
2014-01-16,10.50,11.00,10.50,11.00,1400,11.00
2014-01-15,11.50,11.90,11.00,11.00,3300,11.00
2014-01-14,9.90,10.90,9.90,10.90,12800,10.90
2014-01-13,9.86,9.86,9.80,9.80,2700,9.80
2014-01-10,9.50,10.00,9.50,9.85,11800,9.85
2014-01-09,9.50,9.50,9.50,9.50,400,9.50
2014-01-07,9.50,9.50,9.50,9.50,100,9.50
