Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,40.00,40.14,38.56,38.65,468700,38.65
2014-02-21,38.60,40.00,38.20,39.95,440900,39.95
2014-02-20,38.17,39.15,37.95,38.47,152400,38.47
2014-02-19,39.15,39.50,38.25,38.25,161000,38.25
2014-02-18,39.98,41.10,39.01,39.54,284700,39.54
2014-02-14,38.01,38.90,37.28,38.58,186900,38.58
2014-02-13,39.56,39.56,37.58,38.18,201000,38.18
2014-02-12,38.40,40.45,38.40,40.02,189600,40.02
2014-02-11,38.28,39.31,38.09,38.50,323700,38.50
2014-02-10,37.20,38.68,36.73,38.28,384700,38.28
2014-02-07,35.24,37.27,35.05,36.61,189000,36.61
2014-02-06,35.27,36.07,34.41,35.00,141600,35.00
2014-02-05,38.85,38.85,34.58,35.33,513200,35.33
2014-02-04,37.17,39.76,36.59,39.03,368800,39.03
2014-02-03,37.60,38.12,36.18,36.84,407900,36.84
2014-01-31,37.00,38.22,35.39,36.58,1586600,36.58
2014-01-30,32.68,33.03,32.27,32.27,67700,32.27
2014-01-29,32.83,33.72,32.21,32.43,88000,32.43
2014-01-28,30.88,33.74,30.43,33.27,437200,33.27
2014-01-27,29.72,30.27,27.67,29.93,208200,29.93
2014-01-24,30.92,30.98,29.76,30.03,114800,30.03
2014-01-23,31.28,31.28,30.52,31.01,116800,31.01
2014-01-22,32.13,32.53,31.26,31.59,138100,31.59
2014-01-21,33.75,33.75,31.52,32.21,245800,32.21
2014-01-17,33.80,33.99,33.16,33.41,72000,33.41
2014-01-16,33.69,34.35,33.62,33.96,177300,33.96
2014-01-15,33.21,34.00,32.75,33.64,154800,33.64
2014-01-14,31.63,33.46,31.63,33.02,227400,33.02
2014-01-13,32.31,32.93,31.30,31.63,206400,31.63
2014-01-10,32.05,32.85,31.53,32.30,171100,32.30
2014-01-09,31.74,32.44,31.21,32.06,175800,32.06
2014-01-08,30.27,31.71,30.05,31.49,176500,31.49
2014-01-07,29.21,30.80,28.65,30.04,128400,30.04
2014-01-06,28.86,29.40,28.66,28.68,103400,28.68
2014-01-03,28.28,29.11,28.15,28.86,114100,28.86
2014-01-02,27.39,28.69,27.28,28.28,242700,28.28
2013-12-31,27.77,28.01,27.25,27.28,209300,27.28
2013-12-30,27.97,28.12,27.00,27.66,144300,27.66
2013-12-27,28.64,28.71,27.79,28.06,44500,28.06
2013-12-26,28.48,28.93,28.20,28.44,65800,28.44
2013-12-24,28.18,28.51,28.04,28.31,31000,28.31
2013-12-23,27.81,28.78,27.77,28.04,127200,28.04
2013-12-20,27.42,28.23,27.37,27.45,206700,27.45
2013-12-19,27.75,28.72,27.35,27.57,270900,27.57
2013-12-18,32.50,32.50,27.62,27.73,1156500,27.73
2013-12-17,36.31,36.31,35.31,35.61,133100,35.61
2013-12-16,37.12,37.15,36.19,36.36,204200,36.36
2013-12-13,36.78,37.88,36.00,37.16,228800,37.16
2013-12-12,36.38,37.79,36.25,36.78,742900,36.78
2013-12-11,37.94,38.32,35.39,36.25,604300,36.25
2013-12-10,30.90,38.48,30.05,38.14,1344700,38.14
2013-12-09,28.03,29.66,27.71,29.66,178200,29.66
2013-12-06,27.71,28.14,27.32,27.72,220900,27.72
2013-12-05,28.08,28.37,27.07,27.58,115300,27.58
2013-12-04,27.50,28.70,27.50,28.06,176000,28.06
2013-12-03,27.85,27.85,27.16,27.68,168400,27.68
2013-12-02,27.39,27.90,27.08,27.60,259400,27.60
2013-11-29,27.28,27.63,26.90,27.03,150900,27.03
2013-11-27,25.42,27.39,25.38,26.98,288500,26.98
2013-11-26,25.80,25.93,24.51,25.40,420300,25.40
2013-11-25,24.66,25.12,23.44,24.84,288400,24.84
2013-11-22,22.86,23.80,22.60,23.40,202400,23.40
2013-11-21,21.35,22.38,21.35,22.38,193800,22.38
2013-11-20,21.79,21.79,21.00,21.32,82900,21.32
2013-11-19,21.00,21.83,20.66,21.60,161400,21.60
2013-11-18,20.88,21.95,20.50,21.00,360500,21.00
2013-11-15,19.95,20.36,19.95,20.25,25300,20.25
2013-11-14,20.40,20.40,19.89,20.09,23200,20.09
2013-11-13,20.51,20.51,19.68,20.38,39300,20.38
2013-11-12,20.02,20.79,19.70,20.61,50200,20.61
2013-11-11,20.02,20.20,19.78,20.00,92300,20.00
2013-11-08,19.87,20.53,19.52,20.01,150100,20.01
2013-11-07,19.54,20.06,18.86,19.94,75700,19.94
2013-11-06,19.00,19.60,18.79,19.50,59100,19.50
2013-11-05,19.78,19.98,18.88,18.94,102300,18.94
2013-11-04,20.13,20.47,19.60,19.78,94500,19.78
2013-11-01,20.00,20.37,19.75,20.15,89200,20.15
2013-10-31,19.93,20.43,19.74,19.96,36000,19.96
2013-10-30,20.00,20.31,19.79,19.93,73200,19.93
2013-10-29,19.85,20.00,19.79,19.98,50400,19.98
2013-10-28,20.00,20.00,19.63,19.88,31800,19.88
2013-10-25,20.24,20.24,19.65,20.00,87300,20.00
2013-10-24,21.00,21.27,20.02,20.18,83700,20.18
2013-10-23,20.32,21.17,20.16,20.94,65300,20.94
2013-10-22,20.05,20.59,19.77,20.33,50800,20.33
2013-10-21,20.13,20.49,19.90,19.99,63200,19.99
2013-10-18,21.26,21.26,18.31,20.30,405500,20.30
2013-10-17,21.27,21.66,20.51,20.66,301500,20.66
2013-10-16,19.73,21.00,19.73,20.81,278700,20.81
2013-10-15,19.38,19.76,19.00,19.61,136100,19.61
2013-10-14,20.41,20.50,19.40,19.50,151400,19.50
2013-10-11,20.73,21.06,20.21,20.62,51500,20.62
2013-10-10,20.75,21.42,20.75,20.92,71700,20.92
2013-10-09,20.90,21.31,19.90,20.56,120100,20.56
2013-10-08,21.79,22.70,20.79,20.90,133400,20.90
2013-10-07,21.95,22.00,21.61,21.66,29100,21.66
2013-10-04,22.75,22.75,21.46,21.84,163800,21.84
2013-10-03,23.48,23.48,22.70,22.74,47300,22.74
2013-10-02,23.80,24.29,23.19,23.27,82200,23.27
2013-10-01,22.99,24.20,22.83,23.71,343200,23.71
2013-09-30,23.00,23.46,22.63,22.92,130100,22.92
2013-09-27,23.30,23.44,22.91,23.01,99400,23.01
2013-09-26,23.00,23.62,23.00,23.29,87700,23.29
2013-09-25,22.93,23.14,22.61,22.75,193600,22.75
2013-09-24,24.00,24.00,22.85,22.95,147600,22.95
2013-09-23,25.00,25.25,23.25,23.59,157400,23.59
2013-09-20,24.86,26.39,24.43,25.00,435400,25.00
2013-09-19,22.80,25.02,22.33,24.75,481400,24.75
2013-09-18,21.39,23.13,21.38,22.42,189300,22.42
2013-09-17,19.03,21.87,18.88,21.39,239300,21.39
2013-09-16,18.91,19.34,18.25,19.13,152500,19.13
2013-09-13,19.71,19.71,19.01,19.09,66300,19.09
2013-09-12,19.68,19.78,19.35,19.61,46600,19.61
2013-09-11,19.21,19.67,19.16,19.62,53100,19.62
2013-09-10,18.93,19.30,18.60,19.29,96300,19.29
