Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.50,10.57,10.14,10.51,76300,10.51
2014-02-21,10.37,10.58,10.22,10.45,98400,10.45
2014-02-20,10.25,10.33,10.00,10.20,30700,10.20
2014-02-19,10.40,10.49,9.98,10.11,67600,10.11
2014-02-18,10.52,10.73,10.33,10.51,56900,10.51
2014-02-14,10.40,10.50,10.12,10.39,83200,10.39
2014-02-13,10.11,10.39,10.11,10.39,44300,10.39
2014-02-12,9.89,10.35,9.89,10.35,139300,10.35
2014-02-11,9.39,9.97,9.28,9.84,192100,9.84
2014-02-10,9.25,9.44,9.17,9.27,79300,9.27
2014-02-07,9.16,9.49,9.00,9.24,51700,9.24
2014-02-06,9.70,9.82,9.13,9.17,126300,9.17
2014-02-05,9.00,9.00,9.00,9.00,114100,9.00
2014-02-04,10.00,10.00,9.00,9.00,542100,9.00
2014-02-03,10.14,10.14,9.50,10.01,186200,10.01
2014-01-31,9.42,10.19,9.42,9.95,109000,9.95
2014-01-30,9.50,9.88,9.39,9.62,279500,9.62
2014-01-29,9.15,9.68,9.12,9.34,81000,9.34
2014-01-28,9.03,9.79,9.03,9.32,156100,9.32
2014-01-27,9.60,9.75,9.03,9.09,166000,9.09
2014-01-24,9.50,9.71,9.11,9.46,276700,9.46
2014-01-23,10.20,10.20,9.30,9.70,383700,9.70
2014-01-22,11.00,11.06,10.06,10.15,200200,10.15
2014-01-21,10.85,11.25,10.85,11.00,306300,11.00
2014-01-17,11.74,11.99,10.50,10.85,421700,10.85
2014-01-16,10.13,11.40,9.73,11.40,478200,11.40
2014-01-15,9.14,9.80,9.01,9.63,238600,9.63
2014-01-14,8.76,9.00,8.76,8.98,76900,8.98
2014-01-13,8.75,9.04,8.40,8.81,313500,8.81
