Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.29,16.91,16.29,16.77,57700,16.77
2014-02-21,16.48,16.48,16.14,16.24,17100,16.24
2014-02-20,16.85,16.85,16.25,16.30,42600,16.30
2014-02-19,16.95,17.00,16.63,16.78,39000,16.78
2014-02-18,16.66,17.00,16.50,16.88,33700,16.88
2014-02-14,16.86,17.00,16.51,16.80,40300,16.80
2014-02-13,16.87,17.00,16.79,16.99,41300,16.99
2014-02-12,16.94,17.01,16.65,16.99,48400,16.99
2014-02-11,16.60,17.00,16.51,16.77,110200,16.77
2014-02-10,16.92,17.45,16.60,16.98,79800,16.98
2014-02-07,17.83,17.83,15.80,16.80,60000,16.80
2014-02-06,18.81,18.98,16.75,16.89,219500,16.89
2014-02-05,19.00,19.00,17.00,18.00,57900,18.00
2014-02-04,19.00,19.00,18.00,19.00,162600,19.00
2014-02-03,19.50,20.00,18.80,20.00,126900,20.00
2014-01-31,18.50,19.93,18.00,19.40,679600,19.40
2014-01-30,18.90,19.00,18.90,19.00,1900,19.00
2014-01-29,19.00,20.00,19.00,19.00,7800,19.00
2014-01-28,18.75,19.50,18.75,19.00,81200,19.00
2014-01-27,20.00,20.00,19.00,19.00,7900,19.00
2014-01-24,19.80,19.80,19.80,19.80,2000,19.80
2014-01-23,20.00,20.00,20.00,20.00,2500,20.00
2014-01-22,20.00,20.00,20.00,20.00,7500,20.00
2014-01-21,19.50,20.00,19.16,20.00,7500,20.00
2014-01-17,18.35,19.00,18.35,19.00,5000,19.00
2014-01-16,18.21,18.65,18.21,18.31,8700,18.31
2014-01-15,18.80,19.00,18.00,18.20,105400,18.20
2014-01-14,19.25,19.25,18.00,18.10,14800,18.10
2014-01-13,18.40,18.50,18.20,18.20,5000,18.20
2014-01-10,17.50,20.00,17.50,18.00,157100,18.00
2014-01-09,17.50,17.75,17.10,17.50,159900,17.50
2014-01-07,16.00,17.00,15.00,15.00,59800,15.00
